Segment,Month 1 Forecast,Month 2 Forecast,Month 3 Forecast,Absolute Growth,Growth Percentage
Technology,13815.845691012437,11356.808224406006,42215.82382314948,28399.978132137046,205.5609100397811
West Region,14626.053311731841,11907.970619914477,26432.58599094525,11806.532679213407,80.72261482694827
East Region,9412.424812500845,10128.314903740025,14478.008751545387,5065.583939044542,53.818054751596314
Office Supplies,14508.928486054887,12500.104405713153,19421.52194823413,4912.593462179244,33.85910590779281
Furniture,12703.027817155587,7686.983286598461,16989.04633183782,4286.018514682233,33.740133268809466
